"Date","Price","Open","High","Low","Vol.","Change %"
"11/29/2019","35,384.00","35,384.00","35,384.00","35,384.00","","-0.70%"
"11/28/2019","35,634.00","35,634.00","35,634.00","35,634.00","","-0.01%"
"11/27/2019","35,639.00","35,639.00","35,639.00","35,639.00","","-0.01%"
"11/26/2019","35,644.00","35,644.00","35,644.00","35,644.00","","-0.01%"
"11/25/2019","35,649.00","35,649.00","35,649.00","35,649.00","","-0.06%"
"11/22/2019","35,670.00","35,670.00","35,670.00","35,670.00","","0.00%"
"11/21/2019","35,670.00","35,670.00","35,670.00","35,670.00","","-0.02%"
"11/20/2019","35,675.50","35,675.50","35,675.50","35,675.50","","-0.02%"
"11/19/2019","35,681.00","35,681.00","35,681.00","35,681.00","","0.45%"
"11/18/2019","35,520.50","35,520.50","35,520.50","35,520.50","","-0.05%"
"11/15/2019","35,538.00","35,538.00","35,538.00","35,538.00","","0.00%"
"11/14/2019","35,538.00","35,538.00","35,538.00","35,538.00","","-0.01%"
"11/13/2019","35,542.00","35,542.00","35,542.00","35,542.00","0.01K","-0.01%"
"11/12/2019","35,546.00","35,546.00","35,546.00","35,546.00","","-0.01%"
"11/11/2019","35,550.00","35,550.00","35,550.00","35,550.00","","-0.05%"
"11/08/2019","35,567.00","35,567.00","35,567.00","35,567.00","","0.00%"
"11/07/2019","35,567.50","35,567.50","35,567.50","35,567.50","","-0.01%"
"11/06/2019","35,572.00","35,572.00","35,572.00","35,572.00","","-0.01%"
"11/05/2019","35,576.00","35,576.00","35,576.00","35,576.00","","-0.01%"
"11/04/2019","35,580.00","35,580.00","35,580.00","35,580.00","","-0.05%"
"11/01/2019","35,598.00","35,598.00","35,598.00","35,598.00","","0.00%"
"10/31/2019","35,598.00","35,598.00","35,598.00","35,598.00","","-0.01%"
"10/30/2019","35,603.00","35,603.00","35,603.00","35,603.00","","-0.01%"
"10/29/2019","35,607.50","35,607.50","35,607.50","35,607.50","","-0.01%"
"10/28/2019","35,612.00","35,612.00","35,612.00","35,612.00","","-0.05%"
"10/25/2019","35,630.00","35,630.00","35,630.00","35,630.00","","-0.04%"
"10/24/2019","35,646.00","35,646.00","35,646.00","35,646.00","","-0.01%"
"10/23/2019","35,650.00","35,650.00","35,650.00","35,650.00","","-0.01%"
"10/22/2019","35,654.00","35,654.00","35,654.00","35,654.00","","-0.01%"
"10/21/2019","35,658.00","35,658.00","35,658.00","35,658.00","","-0.05%"
"10/18/2019","35,675.00","35,675.00","35,675.00","35,675.00","","0.00%"
"10/17/2019","35,675.00","35,675.00","35,675.00","35,675.00","","-0.01%"
"10/16/2019","35,679.00","35,679.00","35,679.00","35,679.00","","-0.01%"
"10/15/2019","35,683.00","35,683.00","35,683.00","35,683.00","","0.56%"
"10/14/2019","35,483.00","35,483.00","35,483.00","35,483.00","","-0.06%"
"10/11/2019","35,505.00","35,505.00","35,505.00","35,505.00","","0.00%"
"10/10/2019","35,505.00","35,505.00","35,505.00","35,505.00","","2.14%"
"10/09/2019","34,760.00","34,760.00","34,760.00","34,760.00","0.09K","2.19%"
"10/08/2019","34,015.00","34,015.00","34,015.00","34,015.00","","-0.02%"
"10/07/2019","34,020.50","34,020.50","34,020.50","34,020.50","0.01K","-0.06%"
"10/04/2019","34,042.00","34,042.00","34,042.00","34,042.00","","-4.19%"
"10/03/2019","35,531.00","35,531.00","35,531.00","35,531.00","","-0.01%"
"10/02/2019","35,536.00","35,536.00","35,536.00","35,536.00","","0.00%"
"10/01/2019","35,536.00","35,536.00","35,536.00","35,536.00","","-0.05%"
"09/30/2019","35,552.00","35,552.00","35,552.00","35,552.00","","-2.78%"
"09/27/2019","36,568.00","36,568.00","36,568.00","36,568.00","0.06K","-1.35%"
"09/26/2019","37,068.00","37,068.00","37,068.00","37,068.00","0.16K","-0.04%"
"09/25/2019","37,084.00","37,084.00","37,084.00","37,084.00","","0.00%"
"09/24/2019","37,084.50","37,084.50","37,084.50","37,084.50","","-0.01%"
"09/23/2019","37,090.00","37,090.00","37,090.00","37,090.00","","1.32%"
"09/20/2019","36,606.00","36,606.00","36,606.00","36,606.00","","-0.02%"
"09/19/2019","36,611.50","36,611.50","36,611.50","36,611.50","","1.37%"
"09/18/2019","36,117.00","36,117.00","36,117.00","36,117.00","","-0.02%"
"09/17/2019","36,122.50","36,122.50","36,122.50","36,122.50","","0.43%"
"09/16/2019","35,968.00","35,968.00","35,968.00","35,968.00","0.00K","-0.04%"
"09/13/2019","35,984.00","35,984.00","35,984.00","35,984.00","0.34K","-0.01%"
"09/12/2019","35,989.00","35,989.00","35,989.00","35,989.00","","-0.02%"
"09/11/2019","35,994.50","35,994.50","35,994.50","35,994.50","","2.84%"
"09/10/2019","35,000.00","35,000.00","35,000.00","35,000.00","","-0.15%"
"09/09/2019","35,051.00","35,051.00","35,051.00","35,051.00","","-0.05%"
"09/06/2019","35,067.00","35,067.00","35,067.00","35,067.00","","-0.01%"
"09/05/2019","35,072.00","35,072.00","35,072.00","35,072.00","","1.43%"
