"","pcode","name","visit_date","province","workers_numb","access_dry","access_wet","mineral1","mineral2","mineral3","mercury","interference","armed_group1","frequency_armed_group1","armed_group2","frequency_armed_group2","armed_group3","frequency_armed_group3","state_service1","state_service2","state_service3","state_service4","traceability","qualification","childunder15","childunder15work","project"
"1857","codmine02518","Bakoko 2",2015-08-28,"Maniema",100,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1858","codmine02519","Akomba",2021-12-06,"Maniema",0,"No data","No data","Or",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","No data",NA,"IPIS - USAID"
"1859","codmine02520","Mizunzu",2015-08-01,"Nord-Kivu",38,"No data","No data","Cassitérite",NA,NA,"No data","Observed","Raïa Mutomboki","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1860","codmine02525","34",2017-08-15,"Maniema",36,"Less than 2h walk","No data","Cassitérite",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE",NA,"Division des mines",NA,"iTSCI","None","No data",NA,"IPIS - IOM 2016-2018"
"1861","codmine02526","Amabe",2015-11-06,"Maniema",60,"No data","No data","Or",NA,NA,"None observed","Observed","Maï-Maï Simba","Plus d'une fois par semaine",NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1862","codmine02527","Amaesende Masabe",2015-10-31,"Maniema",25,"No data","No data","Diamant",NA,NA,"No data","None observed",NA,NA,NA,NA,NA,NA,"SAEMAPE","Division des mines",NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1863","codmine02529","Angulakpa",2018-06-18,"Ituri",58,"Less than 2h walk","No data","Or",NA,NA,"Observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGRPI","No traceability program","None","None observed",NA,"IPIS - IOM 2016-2018"
"1864","codmine02530","Aruna",2015-10-30,"Ituri",150,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1865","codmine02531","Aruna 2",2015-10-30,"Ituri",88,"No data","No data","Or",NA,NA,"None observed","None observed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1866","codmine02532","Audha",2015-10-31,"Ituri",25,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine","FRPI","Brusquement",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1867","codmine02533","Avini Mpia",2015-10-30,"Ituri",17,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine","FRPI","Brusquement",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1868","codmine02534","Avini Mpia 2",2015-10-26,"Ituri",14,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine","FRPI","Brusquement",NA,NA,NA,NA,NA,NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
"1869","codmine02535","Avolo 2",2018-06-16,"Ituri",76,"Less than 2h walk","No data","Or",NA,NA,"Observed","None observed","FARDC","Une fois tous les 15 jours",NA,NA,NA,NA,"SAEMAPE","Division des mines","Chefferie","DGPI","No traceability program","None","None observed",NA,"IPIS - IOM 2016-2018"
"1870","codmine02536","Avu 1",2015-10-23,"Ituri",62,"No data","No data","Or",NA,NA,"None observed","Observed","FARDC","Une fois par semaine",NA,NA,NA,NA,"SAEMAPE","Division des mines","DGRPO",NA,"No traceability program","None","None observed",NA,"IPIS - IOM PROMINES 2015"
